,time,open,high,low,close,tick_volume,spread,real_volume
670,2025-04-21 06:00:00,3384.81,3385.16,3378.36,3382.47,4080,18,0
671,2025-04-21 07:00:00,3382.38,3382.38,3369.91,3376.3,3640,17,0
672,2025-04-21 08:00:00,3376.32,3385.8,3375.94,3385.53,4153,17,0
673,2025-04-21 09:00:00,3385.36,3393.07,3382.53,3392.26,4163,5,0
674,2025-04-21 10:00:00,3392.1,3395.93,3381.81,3385.16,4285,13,0
675,2025-04-21 11:00:00,3385.25,3394.1,3383.66,3392.83,3897,5,0
676,2025-04-21 12:00:00,3392.75,3397.01,3390.92,3394.84,3821,6,0
677,2025-04-21 13:00:00,3394.91,3397.73,3391.97,3394.99,3725,5,0
678,2025-04-21 14:00:00,3394.66,3405.85,3386.61,3404.45,4424,5,0
679,2025-04-21 15:00:00,3404.45,3415.67,3398.09,3414.94,4710,7,0
680,2025-04-21 16:00:00,3414.88,3426.64,3405.5,3420.46,5531,6,0
681,2025-04-21 17:00:00,3420.38,3430.17,3408.98,3416.72,5191,6,0
682,2025-04-21 18:00:00,3417.36,3426.16,3408.21,3422.92,4794,5,0
683,2025-04-21 19:00:00,3422.88,3424.02,3410.21,3414.54,4350,5,0
684,2025-04-21 20:00:00,3414.58,3422.89,3406.05,3422.53,4425,5,0
685,2025-04-21 21:00:00,3422.52,3426.7,3417.7,3426.44,4191,5,0
686,2025-04-21 22:00:00,3426.43,3430.5,3417.48,3423.31,4416,5,0
687,2025-04-21 23:00:00,3423.3,3427.22,3419.62,3424.4,1998,9,0
688,2025-04-22 01:00:00,3425.06,3435.85,3423.54,3431.04,2884,8,0
689,2025-04-22 02:00:00,3431.09,3444.21,3429.29,3434.58,3691,5,0
690,2025-04-22 03:00:00,3434.35,3435.42,3412.26,3425.46,4458,5,0
691,2025-04-22 04:00:00,3425.2,3455.06,3421.91,3452.95,4784,13,0
692,2025-04-22 05:00:00,3453.06,3475.82,3442.51,3473.23,4595,9,0
693,2025-04-22 06:00:00,3472.94,3494.77,3472.12,3487.78,4260,5,0
694,2025-04-22 07:00:00,3487.77,3488.42,3479.57,3484.39,3274,5,0
695,2025-04-22 08:00:00,3484.37,3495.53,3473.59,3494.32,3979,7,0
696,2025-04-22 09:00:00,3494.67,3499.98,3475.32,3479.74,5033,5,0
697,2025-04-22 10:00:00,3479.39,3480.56,3460.92,3468.65,4759,5,0
698,2025-04-22 11:00:00,3468.55,3472.68,3443.19,3444.07,4494,5,0
699,2025-04-22 12:00:00,3444.2,3458.72,3443.97,3454.61,4418,8,0
700,2025-04-22 13:00:00,3454.66,3468.19,3451.32,3452.42,4303,5,0
701,2025-04-22 14:00:00,3452.43,3461.2,3448.18,3456.67,3996,5,0
702,2025-04-22 15:00:00,3456.52,3464.75,3424.29,3431.38,4763,5,0
703,2025-04-22 16:00:00,3431.48,3449.53,3408.63,3418.65,5301,5,0
704,2025-04-22 17:00:00,3418.92,3438.94,3417.99,3429.98,4694,7,0
705,2025-04-22 18:00:00,3430.0,3433.2,3410.35,3417.62,4541,5,0
706,2025-04-22 19:00:00,3417.59,3421.01,3372.09,3392.84,5352,5,0
707,2025-04-22 20:00:00,3392.93,3410.29,3386.08,3401.89,4708,5,0
708,2025-04-22 21:00:00,3401.99,3402.5,3373.14,3381.27,4187,5,0
709,2025-04-22 22:00:00,3381.38,3385.77,3366.78,3374.74,4200,6,0
710,2025-04-22 23:00:00,3374.87,3382.6,3373.27,3380.93,2450,12,0
711,2025-04-23 01:00:00,3347.99,3347.99,3312.89,3327.57,5235,0,0
712,2025-04-23 02:00:00,3328.14,3349.89,3326.85,3336.66,3800,5,0
713,2025-04-23 03:00:00,3336.45,3371.23,3334.58,3367.85,4215,8,0
714,2025-04-23 04:00:00,3368.52,3386.58,3359.04,3379.25,5149,5,0
715,2025-04-23 05:00:00,3379.22,3379.8,3348.8,3354.48,4499,5,0
716,2025-04-23 06:00:00,3354.13,3355.59,3329.24,3338.91,4540,11,0
717,2025-04-23 07:00:00,3338.93,3347.09,3335.71,3346.55,2940,15,0
718,2025-04-23 08:00:00,3346.65,3349.24,3316.01,3319.11,4130,5,0
719,2025-04-23 09:00:00,3319.18,3325.72,3291.82,3300.52,5311,5,0
720,2025-04-23 10:00:00,3301.19,3320.51,3301.19,3319.0,4452,9,0
